ID;Name_lang;MapID;DifficultyID;OrderIndex;CompleteWorldStateID;Bit;Flags;SpellIconFileID;Faction;ItemSequenceLevel
227;High Interrogator Gerstahn;230;1;0;4625;0;4;0;-1;0
228;Lord Roccor;230;1;1000;4626;1;4;0;-1;0
229;Houndmaster Grebmar;230;1;2000;4627;2;4;0;-1;0
230;Ring of Law;230;1;3000;4628;3;4;0;-1;0
231;Pyromancer Loregrain;230;1;4000;4629;4;4;0;-1;0
232;Lord Incendius;230;1;5000;4630;5;4;0;-1;0
233;Warder Stilgiss;230;1;6000;4633;6;4;0;-1;0
234;Fineous Darkvire;230;1;7000;4634;7;4;0;-1;0
235;Bael'Gar;230;1;8000;4635;8;4;0;-1;0
236;General Angerforge;230;1;9000;4636;9;4;0;-1;0
237;Golem Lord Argelmach;230;1;10000;4637;10;4;0;-1;0
238;Hurley Blackbreath;230;1;11000;4638;11;4;0;-1;0
239;Phalanx;230;1;12000;4639;12;4;0;-1;0
240;Ribbly Screwspigot;230;1;13000;4640;13;4;0;-1;0
241;Plugger Spazzring;230;1;14000;4641;14;4;0;-1;0
242;Ambassador Flamelash;230;1;15000;4642;15;4;0;-1;0
243;The Seven;230;1;16000;4643;16;4;0;-1;0
244;Magmus;230;1;17000;4644;17;4;0;-1;0
245;Emperor Dagran Thaurissan;230;1;18000;4645;18;4;0;-1;0
250;Yor;557;2;1500;4607;3;4;0;-1;0
267;Highlord Omokk;229;1;0;4646;0;4;0;-1;0
268;Shadow Hunter Vosh'gajin;229;1;1000;4647;1;4;0;-1;0
269;War Master Voone;229;1;2000;4648;2;4;0;-1;0
270;Mother Smolderweb;229;1;3000;4649;3;4;0;-1;0
271;Urok Doomhowl;229;1;4000;4650;4;4;0;-1;0
272;Quartermaster Zigris;229;1;5000;4651;5;4;0;-1;0
273;Gizrul the Slavener;229;1;6000;4652;6;4;0;-1;0
274;Halycon;229;1;5500;4653;7;4;0;-1;0
275;Overlord Wyrmthalak;229;1;8000;4654;8;4;0;-1;0
343;Zevrim Thornhoof;429;0;0;4669;0;4;0;-1;0
344;Hydrospawn;429;0;-500;4670;1;4;0;-1;0
345;Lethtendris;429;0;-1000;4671;2;4;0;-1;0
346;Alzzin the Wildshaper;429;0;3000;4672;3;4;0;-1;0
347;Illyanna Ravenoak;429;0;4000;4676;4;4;0;-1;0
348;Magister Kalendris;429;0;5000;4675;5;4;0;-1;0
349;Immol'thar;429;0;6000;4676;6;4;0;-1;0
350;Tendris Warpwood;429;0;3500;4673;7;4;0;-1;0
361;Prince Tortheldrin;429;0;7000;4677;8;4;0;-1;0
362;Guard Mol'dar;429;1;8000;4678;9;4;0;-1;0
363;Stomper Kreeg;429;1;9000;4679;10;4;0;-1;0
364;Guard Fengus;429;1;10000;4680;11;4;0;-1;0
365;Guard Slip'kik;429;1;11000;4681;12;4;0;-1;0
366;Captain Kromcrush;429;1;12000;4682;13;4;0;-1;0
367;Cho'Rush the Observer;429;1;13000;4683;14;4;0;-1;0
368;King Gordok;429;1;14000;1544;15;4;0;-1;0
378;Viscous Fallout;90;1;2500;4693;1;4;0;-1;0
379;Grubbis;90;1;2000;4694;2;4;0;-1;0
380;Electrocutioner 6000;90;1;3000;4695;3;4;0;-1;0
381;Crowd Pummeler 9-60;90;1;4000;4696;4;4;0;-1;0
382;Mekgineer Thermaplugg;90;1;5000;4697;5;4;0;-1;0
422;Noxxion;349;1;0;4703;0;4;0;-1;0
423;Razorlash;349;1;1000;4704;1;4;0;-1;0
424;Lord Vyletongue;349;1;2000;4705;2;4;0;-1;0
425;Celebras the Cursed;349;1;3000;4706;3;4;0;-1;0
426;Landslide;349;1;4000;4707;4;4;0;-1;0
427;Tinkerer Gizlock;349;1;1500;4708;5;4;0;-1;0
428;Rotgrip;349;1;6000;4709;6;4;0;-1;0
429;Princess Theradras;349;1;7000;4710;7;4;0;-1;0
438;Roogug;47;1;375;8591;0;0;0;-1;0
444;Interrogator Vishas;189;1;0;24615;0;0;0;-1;0
446;Houndmaster Loksey;189;1;2000;24617;2;0;0;-1;0
447;Arcanist Doan;189;1;3000;24618;3;0;0;-1;0
448;Herod;189;1;4000;24619;4;0;0;-1;0
449;High Inquisitor Fairbanks;189;1;5000;24620;5;0;0;-1;0
450;High Inquisitor Whitemane;189;1;6000;24621;6;0;0;-1;0
451;Kirtonos the Herald;289;1;0;4573;0;0;0;-1;0
452;Jandice Barov;289;1;1000;4574;1;0;0;-1;0
453;Rattlegore;289;1;2000;4575;2;0;0;-1;0
454;Marduk Blackpool;289;1;3000;4576;3;0;0;-1;0
455;Vectus;289;1;4000;4577;4;0;0;-1;0
456;Ras Frostwhisper;289;1;5000;4578;5;0;0;-1;0
457;Instructor Malicia;289;1;6000;4588;6;0;0;-1;0
458;Doctor Theolen Krastinov;289;1;7000;4589;7;0;0;-1;0
459;Lorekeeper Polkelt;289;1;8000;4590;8;0;0;-1;0
460;The Ravenian;289;1;9000;4591;9;0;0;-1;0
461;Lord Alexei Barov;289;1;10000;4592;10;0;0;-1;0
462;Lady Illucia Barov;289;1;11000;4593;11;0;0;-1;0
463;Darkmaster Gandling;289;1;12000;4594;12;0;0;-1;0
472;The Unforgiven;329;0;6500;4719;0;4;0;-1;0
473;Hearthsinger Forresten;329;0;1000;4720;1;4;0;-1;0
474;Timmy the Cruel;329;0;2000;4721;2;4;0;-1;0
475;Willey Hopebreaker;329;0;3000;4723;3;4;0;-1;0
476;Commander Malor;329;0;2500;4722;4;4;0;-1;0
477;Instructor Galford;329;0;5000;4724;5;4;0;-1;0
478;Balnazzar;329;0;6000;4725;6;4;0;-1;0
479;Baroness Anastari;329;0;7000;4726;7;4;0;-1;0
480;Nerub'enkan;329;0;8000;4727;8;4;0;-1;0
481;Maleki the Pallid;329;0;9000;4728;9;4;0;-1;0
482;Magistrate Barthilas;329;0;10000;4729;10;4;0;-1;0
483;Ramstein the Gorger;329;0;11000;4730;11;4;0;-1;0
484;Lord Aurius Rivendare;329;0;12000;4731;12;4;0;-1;0
486;Dreamscythe;109;1;1000;4734;1;4;0;-1;0
487;Weaver;109;1;2000;4735;2;4;0;-1;0
488;Jammal'an the Prophet;109;1;500;121;3;4;0;-1;0
490;Morphaz;109;1;5000;4737;5;4;0;-1;0
491;Hazzas;109;1;6000;4738;6;4;0;-1;0
492;Avatar of Hakkar;109;1;-500;4739;7;4;0;-1;0
493;Shade of Eranikus;109;1;8000;4740;8;4;0;-1;0
519;Frozen Commander;576;2;0;3685;0;0;0;-1;0
528;Drakos the Interrogator;578;1;0;3869;0;0;0;-1;0
529;Drakos the Interrogator;578;2;1000;3869;0;0;0;-1;0
530;Varos Cloudstrider;578;1;1000;3871;1;0;0;-1;0
