ID;Name_lang;Description_lang;Map;JournalInstanceID;DungeonEncounterID;OrderIndex;FirstSectionID;UiMapID;MapDisplayConditionID;Flags;DifficultyMask
89;Glubtok;In a fit of rage, Glubtok unleashed his potent magical abilities and reduced his ogre mound to ash. Upon hearing of his destructive talents, the Defias hired the massive ogre mage to supervise their laborers as head foreman of the Deadmines.;0.3652696907520294,0.6122754812240601;63;2976;1;2010;291;54460;2;1
90;Helix Gearbreaker;Formerly a craftsman in the Bilgewater Cartel, Helix was offered a sum eclipsing anything he would ever make as a nameless Horde engineer to ply his trade for the Defias Brotherhood. He was quick to accept the job and renounce his former loyalties... just as any resourceful goblin would.;0.5019960403442383,0.8682636022567749;63;2977;2;2020;291;54460;2;1
91;Foe Reaper 5000;Defias engineers have spent many long days perfecting a new harvester model based on the Foe Reaper 4000 unit. Once it is completed, the brotherhood believes this mechanized terror will be able to slice through Stormwind's armored soldiers like a scythe through wheat.;0.12475066632032394,0.7589820623397827;63;2975;3;3448;292;54460;2;1
92;Admiral Ripsnarl;When James Harrington became afflicted by the worgen curse, he destroyed his loving family and maritime career in one chilling night of bloodlust. Taking on the name Ripsnarl, he fled into Westfall and later agreed to command the Defias Brotherhood's fearsome juggernaut.;0.6047908663749695,0.38772451877593994;63;2974;4;2044;292;54460;2;1
93;"""Captain"" Cookie";Cookie proclaimed himself captain of the Defias Brotherhood's juggernaut following its previous commander's death. Although he still performs his official duties as chief cook, anyone who questions the validity of his captain title has been known to come down with a severe case of food poisoning.;0.6047908663749695,0.455089807510376;63;2973;5;2055;292;54460;2;1
95;Vanessa VanCleef;As a young girl, Vanessa witnessed the gruesome death of her father and former Defias Brotherhood leader, Edwin VanCleef. She has since taken up his mantle of leadership, plotting to exact vengeance on Stormwind from the dark corridors of the Defias's stronghold in the Deadmines.;0.6546912789344788,0.40269458293914795;63;1081;6;2060;292;54460;2;2
96;Baron Ashbury;Slain by worgen and raised into undeath by the Forsaken, the traitor Baron Ashbury toys with his foes, keeping them alive so he can inflict maximum pain and suffering.;0.6646713614463806,0.7320359945297241;64;1069;1;2107;310;0;0;-1
97;Baron Silverlaine;Baron Silverlaine was master of the keep before it fell to Arugal's worgen. Now his cursed spirit calls upon the very wolf-beasts that slaughtered him to punish further trespassers into his home.;0.3043915629386902,0.7739521265029907;64;1070;2;2118;311;0;0;-1
98;Commander Springvale;A loyal soldier, the ghost of Commander Springvale haunts the council room, using unholy strikes to avenge his lord, Baron Silverlaine.;0.28043949604034424,0.597305417060852;64;1071;3;2137;310;0;0;-1
99;Lord Walden;Godfrey's right-hand man, the arrogant Lord Walden vowed to pay any price, including death, to serve his compatriot. Now among the undead, Walden intends to keep his word, attacking adversaries with ice and venom.;0.5449103713035583,0.53742516040802;64;1073;4;2156;313;0;0;-1
100;Lord Godfrey;Drawing from his past as a Gilnean noble and Forsaken agent, the cunning and resourceful Lord Godfrey wields dual pistols and commands relentless flesh-eating ghouls.;0.6846315264701843,0.3353292942047119;64;1072;5;2164;315;0;0;-1
101;Lady Naz'jar;Lady Naz'jar played a pivotal role in retaking Vashj'ir from the brutal Kvaldir, earning her Queen Azshara's favor. Recently Naz'jar spearheaded an assault against Neptulon and succeeded in cornering the powerful elemental lord within his throne room.;0.5049900412559509,0.21556878089904785;65;1045;1;28310;323;0;0;-1
102;Commander Ulthok, the Festering Prince;Ulthok is an incredibly ancient being sent by his Old God masters to aid Lady Naz'jar with invading the Throne of Tides. Bristling with sinister powers, Ulthok commands legions of his fellow faceless ones in the deepest trenches surrounding Vashj'ir.;0.5049900412559509,0.42514967918395996;65;1044;2;28314;323;0;0;-1
