ID;Name_lang;Description_lang;JournalEncounterID;CreatureDisplayInfoID;FileDataID;OrderIndex;UiModelSceneID
358;Glubtok;;89;37410;522228;0;9
359;Helix Gearbreaker;;90;33002;522234;0;9
360;Foe Reaper 5000;;91;35606;522225;0;9
361;Admiral Ripsnarl;;92;35739;522189;0;9
362;"""Captain"" Cookie";;93;1305;522210;0;9
365;Vanessa VanCleef;;95;32806;522278;0;9
366;Baron Ashbury;;96;34610;522205;0;9
367;Baron Silverlaine;;97;37288;522206;0;9
368;Commander Springvale;;98;37287;522213;0;9
369;Lord Walden;;99;34612;522249;0;9
370;Lord Godfrey;;100;34611;522247;0;9
371;Lady Naz'jar;;101;34342;522245;0;9
372;Commander Ulthok;;102;84332;522214;0;9
373;Mindbender Ghur'sha;;103;32259;522253;0;9
374;Ozumat;;104;34135;522259;0;9
375;Rom'ogg Bonecrusher;;105;33147;522266;0;9
376;Corla, Herald of Twilight;;106;31546;522216;0;9
377;Karsh Steelbender;;107;31710;522244;0;9
378;Beauty;;108;34433;522207;0;9
379;Ascendant Lord Obsidius;;109;36465;522201;0;9
380;Corborus;;110;33477;522215;0;9
381;Slabhide;;111;36476;522271;0;9
382;Ozruk;;112;36475;522258;0;9
383;High Priestess Azil;;113;26448;522237;0;9
384;Grand Vizier Ertan;;114;35181;522229;0;9
385;Altairus;;115;34265;522192;0;9
386;Asaad;;116;35388;522200;0;9
387;General Husam;;117;34743;523205;0;9
388;Augh;;118;37339;522203;1;9
389;Lockmaw;;118;33438;522246;0;9
390;High Prophet Barim;;119;34744;522239;0;9
394;Siamat;;122;35388;522269;0;9
424;Temple Guardian Anhuur;;124;35067;522272;0;9
425;Earthrager Ptah;;125;31450;522219;0;9
426;Anraphet;;126;34580;522195;0;65
427;Isiset;;127;33465;522241;0;66
428;Ammunae;;128;32943;522194;0;66
429;Setesh;;129;33055;522267;0;66
430;Rajh;;130;33177;522262;0;66
431;General Umbriss;;131;31498;522227;0;9
432;Forgemaster Throngus;;132;33429;522226;0;66
433;Dragha Shadowburner;;133;31792;522218;0;9
434;Valiona;;133;31795;522276;1;9
435;Erudax;;134;33428;522222;0;9
463;Argaloth;;139;35426;522198;0;9
464;Occu'thar;;140;37876;523207;0;9
555;Nezir;Lord of the North Wind;154;35232;522256;1;9
556;Anshal;Lord of the West Wind;154;35233;522196;0;9
557;Rohash;Lord of the East Wind;154;35234;522265;2;9
558;Al'akir;;155;35248;522191;0;9
559;Halfus Wyrmbreaker;;156;34816;522232;0;66
560;Valiona;;157;34812;522277;1;9
561;Theralion;;157;34813;522274;0;9
562;Terrastra;Ascendant Councillor of Earth;158;34824;522273;3;9
563;Elementium Monstrosity;The combined Ascendant Councillors;158;34825;522221;4;9
564;Ignacious;Ascendant Councillor of Flame;158;34821;522240;1;9
565;Feludius;Ascendant Councillor of Water;158;34822;522224;0;9
566;Arion;Ascendant Councillor of Air;158;34823;522199;2;9
587;Cho'gall;;167;34576;522212;0;9
588;Sinestra;;168;34335;522270;0;9
589;Electron;;169;32688;522220;2;9
590;Toxitron;;169;32684;522275;3;9
591;Magmatron;;169;32685;522250;0;9
592;Arcanotron;;169;32687;522197;1;9
593;Magmaw;;170;37993;522251;0;9
594;Atramedes;;171;34547;522202;0;9
595;Chimaeron;;172;33308;522211;0;9
596;Maloriak;;173;33186;522252;0;9
599;Onyxia;;174;32569;522257;1;9
600;Nefarian;;174;32716;522255;0;9
601;High Priest Venoxis;;175;37788;522236;0;9
602;Bloodlord Mandokir;;176;37816;522209;0;9
603;Gri'lek;;177;8390;522230;0;9
604;Hazza'rah;;178;37832;522233;0;9
605;Renataki;;179;37830;522263;0;9
606;Wushoolay;;180;37831;522279;0;9
607;High Priestess Kilnara;;181;37805;522238;0;9
616;Zanzil;;184;37813;522280;0;9
617;Jin'do the Godbreaker;;185;37789;522243;0;9
618;Akil'zon;;186;21630;522190;0;9
619;Nalorakk;;187;21631;522254;0;9
620;Jan'alai;;188;21633;522242;0;9
621;Halazzi;;189;21632;522231;0;9
622;Hex Lord Malacrass;;190;22332;522235;0;9
623;Daakara;;191;38118;522217;0;9
624;Beth'tilac;;192;38227;522208;0;9
625;Lord Rhyolith;;193;38414;522248;0;9
626;Alysrazor;;194;38446;522193;0;9
627;Shannox;;195;38448;522268;0;9
628;Majordomo Staghelm;;197;37953;522223;0;9
629;Ragnaros;;198;37875;522261;0;280
630;Lumbering Oaf;;90;33003;523206;1;9
770;Baleroc;;196;38621;522204;0;9
817;Echo of Tyrande;;283;39617;571749;0;9
827;Murozond;The Lord of the Infinite;289;38931;536059;0;9
855;Deathwing;;318;35268;536056;0;9
856;Hagara the Stormbinder;;317;39318;536057;0;9
862;Arcurion;;322;35978;571743;0;9
864;Echo of Sylvanas;;323;38655;571748;0;9
865;Queen Azshara;;291;39391;571747;0;9
867;Warlord Zon'ozz;;324;39138;536061;0;9
875;Ultraxion;;331;39099;571750;0;9
876;Yor'sahj the Unsleeping;;325;39101;536062;0;9
877;Warmaster Blackhorn;;332;39399;571752;0;9
881;Morchok;;311;39094;536058;0;9
895;Peroth'arn;;290;39182;536060;0;9
896;Alizabal;;339;21252;571742;0;9
899;Archbishop Benedictus;;341;38991;536053;0;9
900;Echo of Baine;;340;38791;571744;0;9
903;Echo of Jaina;;285;38802;571745;0;9
