ID;Map;JournalEncounterID;MapDisplayConditionID;Flags;UiMapID
1613;0.6366999745368958,0.46257483959198;178;0;1;337
1614;0.631147027015686,0.4959009885787964;581;0;1;132
1615;0.6721310019493103,0.7868850231170654;583;0;1;132
1616;0.43169400095939636,0.5942620038986206;586;0;1;158
1617;0.4900199770927429,0.3428143262863159;168;0;1;296
1618;0.5099800825119019,0.7245509624481201;197;0;1;369
1619;0.47541001439094543,0.39754098653793335;609;0;1;184
1620;0.3652696907520294,0.6122754812240601;89;54460;1;291
1621;0.513047993183136,0.8212699890136719;851;0;1;564
1622;0.30625298619270325,0.3855240046977997;864;0;1;559
1623;0.5878880023956299,0.4652880132198334;865;0;1;565
1624;0.5049900412559509,0.23053884506225586;112;0;1;324
1625;0.3103795647621155,0.5;127;0;1;299
1626;0.37025970220565796,0.447604775428772;111;0;1;324
1627;0.4850299656391144,0.39520955085754395;185;0;1;337
1628;0.6546912789344788,0.40269458293914795;95;54460;1;292
1629;0.639721155166626,0.492514967918396;129;0;1;299
1630;0.5399203300476074,0.7844312191009521;157;0;1;294
1631;0.9041933417320251,0.529940128326416;191;0;1;333
1632;0.4151698052883148,0.552395224571228;122;0;1;277
1633;0.6546912789344788,0.57485032081604;169;0;1;285
1634;0.49538901448249817,0.66081702709198;285;0;1;402
1635;0.6161199808120728,0.30737701058387756;551;0;1;271
1636;0.4750499427318573,0.3278442621231079;171;0;1;286
1637;0.12475066632032394,0.7589820623397827;91;54460;1;292
1638;0.7345319390296936,0.7544910907745361;167;0;1;295
1639;0.40518978238105774,0.7739928960800171;187;0;1;333
1640;0.40518978238105774,0.6871258020401001;131;0;1;293
1641;0.3321169912815094,0.8525869846343994;318;0;1;414
1642;0.5049900412559509,0.42514967918395996;102;0;1;323
1643;0.3003995418548584,0.38023948669433594;116;0;1;325
1644;0.47005993127822876,0.6646707057952881;107;0;1;284
1645;0.2754494845867157,0.57485032081604;170;0;1;285
1646;0.35528966784477234,0.23053884506225586;186;0;1;333
1647;0.5,0.492514967918396;125;0;1;298
1648;0.5673760175704956,0.2771790027618408;322;0;1;399
1649;0.6297410726547241,0.597305417060852;110;0;1;324
1650;0.6019052863121033,0.4147113561630249;180;0;1;337
1651;0.6437137126922607,0.3802395462989807;194;0;1;367
1652;0.6047908663749695,0.7994012832641602;176;0;1;337
1653;0.3253495991230011,0.19311368465423584;104;0;1;322
1654;0.7145717740058899,0.7020958662033081;173;0;1;286
1655;0.48003995418548584,0.20059871673583984;181;0;1;337
1656;0.5099800825119019,0.53742516040802;175;0;1;337
1657;0.5998008251190186,0.46257483959198;177;0;1;337
1658;0.3043915629386902,0.7739521265029907;97;0;1;311
1659;0.4750499427318573,0.7470060586929321;128;0;1;299
1660;0.21057921648025513,0.3278442621231079;192;0;1;367
1661;0.3173384368419647,0.24550890922546387;184;0;1;337
1662;0.6646713614463806,0.7320359945297241;96;0;1;310
1663;0.5349302887916565,0.19311368465423584;156;0;1;294
1664;0.7145717740058899,0.529940128326416;190;0;1;333
1665;0.8043925166130066,0.6347305774688721;139;0;1;282
1666;0.4750499427318573,0.5;155;0;1;328
