ID;Position;MapID;AreaTableID;Faction;JournalInstanceID
3;-11207.9423828125,1679.657958984375,24.05051040649414;0;6510;-1;63
5;-11522.9130859375,-2317.5869140625,612.9595947265625;2241;10833;-1;68
6;-10687.154296875,-1309.236083984375,17.68829345703125;2241;10833;-1;69
7;-10218.607421875,-1837.9271240234375,24.811670303344727;2241;10833;-1;70
8;-11360.984375,73.11631774902344,730.7279663085938;2241;10833;-1;74
9;1204.5069580078125,642.4808959960938,347.6437683105469;1795;9105;-1;369
10;4048.859375,-665.9479370117188,1.2724759578704834;1464;6723;-1;669
11;-1713.05908203125,6649.048828125,124.8631591796875;1220;7334;-1;707
12;0.0659722238779068,5811.63037109375,4.766899108886719;1220;7334;-1;716
13;2454.97216796875,812.4253540039062,252.9257354736328;1220;7541;-1;721
14;1153.5625,4380.52587890625,9.202438354492188;1220;7637;-1;726
15;3436.26904296875,1986.7725830078125,21.63528060913086;1220;7541;-1;727
16;3122.02783203125,7561.70849609375,32.323326110839844;1220;7558;-1;740
17;3826.458251953125,6359.8271484375,186.68576049804688;1220;7558;-1;762
18;3716.46435546875,4184.9912109375,891.5360107421875;1220;7503;-1;767
19;3617.520751953125,6506.291015625,183.39064025878906;1220;7558;-1;768
20;-969.9409790039062,4313.9384765625,742.1744384765625;1220;7502;-1;777
21;1242.704833984375,4202.47900390625,-66.40068054199219;1220;7637;-1;786
22;1017.8195190429688,3828.6337890625,8.699515342712402;1220;8148;-1;800
23;3617.520751953125,6506.291015625,183.39064025878906;1220;7558;-1;822
24;-11044.357421875,-1992.69970703125,92.97105407714844;0;41;-1;860
25;2357.32470703125,909.2742919921875,257.7898864746094;1220;7541;-1;861
26;-524.2933959960938,2415.395751953125,117.08511352539062;1220;7543;-1;875
27;-436.1944580078125,2419.15283203125,108.36210632324219;1220;7543;-1;900
28;5414.55224609375,10819.2470703125,20.1162052154541;1669;8701;-1;945
29;-3212.944580078125,9419.3798828125,-173.21246337890625;1669;8899;-1;946
30;3617.520751953125,6506.291015625,183.39064025878906;1220;7558;-1;959
31;-847.3524169921875,2044.35595703125,735.6194458007812;1642;8499;-1;968
32;-1606.0538330078125,-1229.234375,36.98764419555664;1643;8567;-1;1001
33;36.46354293823242,-2660.822998046875,28.11839485168457;1643;10015;-1;1002
34;796.6580200195312,3371.592041015625,234.56396484375;1643;8721;-1;1021
35;1275.654541015625,762.9496459960938,-269.123046875;1642;8500;-1;1022
36;-212.04513549804688,-1562.267333984375,6.060854434967041;1643;8567;-1;1023
37;1149.7882080078125,-551.96875,0.9867274165153503;1643;8567;-1;1023
38;1336.1597900390625,624.0104370117188,-165.84844970703125;1642;8500;-1;1028
39;3233.395751953125,3151.779541015625,139.76934814453125;1642;8501;-1;1030
40;1336.1597900390625,624.0104370117188,-165.84844970703125;1642;8500;-1;1031
41;4161.08349609375,-1140.82470703125,164.7176971435547;1643;9042;-1;1036
42;-849.3055419921875,2552.1796875,732.1777954101562;1642;8499;-1;1041
43;-315.0140075683594,1115.6500244140625,314.9010009765625;1642;8499;0;1176
44;914.114990234375,-534.0070190429688,9.865150451660156;1643;8717;1;1176
45;3413.901123046875,-1429.69970703125,118.95099639892578;1643;9042;-1;1177
46;3744.486083984375,-508.8350830078125,-893.5422973632812;1718;10052;-1;1179
47;1141.0972900390625,1466.4166259765625,385.9117126464844;1795;9105;-1;1180
48;-9844.5400390625,-976.123291015625,150.78431701660156;2241;10833;-1;1180
49;-3316.635498046875,-4094.15966796875,6605.77685546875;2222;10534;-1;1182
50;2081.96875,-3118.607666015625,3273.79736328125;2222;11462;-1;1183
51;-6935.8505859375,1789.1180419921875,5552.44873046875;2222;11510;-1;1184
52;-2196.833251953125,4987.92041015625,4079.860595703125;2222;10413;-1;1185
53;-2130.67529296875,-5327.34033203125,6549.61083984375;2222;10534;-1;1186
54;2605.5087890625,-2709.59375,3299.717529296875;2222;11462;-1;1187
55;-7544.27099609375,-583.3142700195312,5454.01904296875;2222;11510;-1;1188
56;-1487.15625,6543.41748046875,4186.3671875;2222;10413;-1;1189
57;-1901,6791.98974609375,4302.6796875;2222;10413;-1;1190
58;4849.59619140625,5779.4130859375,4864.4736328125;2222;11400;-1;1193
59;4843.96337890625,5819.78125,4867.43994140625;2456;13587;-1;1193
61;-227.9980010986328,1576.699951171875,80.88300323486328;0;236;-1;64
62;-5582.18994140625,5396.89990234375,-1797.1700439453125;0;5047;-1;65
63;-7569.2900390625,-1331.199951171875,250;0;252;-1;66
64;1031.3299560546875,612.8300170898438,152.16400146484375;646;5303;-1;67
65;-11522.099609375,-2317.429931640625,616.5;1;5034;-1;68
66;-10688,-1309.0999755859375,17.66160011291504;1;5599;-1;69
67;-10221.7998046875,-1837.6600341796875,21.795499801635742;1;5732;-1;70
68;-4042.389892578125,-3444.449951171875,295;0;1037;-1;71
69;-4899.669921875,-4222.35986328125,827.7639770507812;0;5473;-1;72
70;-7542.91015625,-1184.9300537109375,482;0;254;-1;73
71;-11361.2001953125,73.02950286865234,723.9010009765625;1;5034;-1;74
72;-1274,1050.0899658203125,110;732;5399;-1;75
73;-11916.2001953125,-1218.469970703125,100;0;19;-1;76
74;6851.8798828125,-8008.72998046875,192.3179931640625;530;5780;-1;77
75;3980.6298828125,-2924.81005859375,1017;1;5039;-1;78
76;-8281.1298828125,-4456.64013671875,-190;1;440;-1;184
77;-8595.2001953125,-3993.159912109375,-198;1;2300;-1;185
78;-8287.830078125,-4593.4599609375,-209;1;2300;-1;186
79;-8262.01953125,-4512.1201171875,-200;1;2300;-1;187
80;1818.4000244140625,-4427.259765625,-10.447799682617188;1;1637;-1;226
81;4253.10986328125,756.9669799804688,-19.5;1;2077;-1;227
82;-7176.6298828125,-937.6669921875,170.20599365234375;0;51;-1;228
83;-7527.8974609375,-1336.845458984375,290.65631103515625;0;252;-1;229
84;-3759.68994140625,934.9290161132812,161.02499389648438;1;3217;-1;230
85;-3519.949951171875,1089.9300537109375,161.06500244140625;1;3217;-1;230
86;-3822.6298828125,1249.9200439453125,160.27000427246094;1;3217;-1;230
87;-5154.97998046875,916.5490112304688,287.3949890136719;0;1;-1;231
